,Super-class0,Super-class1,Super-class2,Super-class3,Super-class4
229,1546,449,1484,1109,83
230,1835,1469,856,162,1537
231,1628,244,1360,1484,1383
232,1655,291,854,508,291
233,53,1060,378,464,1477
234,1472,537,635,1694,128
235,968,968,1038,1443,100
236,989,451,1339,83,116
237,1487,1273,1154,82,778
238,381,516,991,1131,1488
239,1625,623,448,497,144
240,502,433,72,303,119
241,1705,1507,1158,323,1355
242,1577,1713,1250,854,1014
243,1772,413,1148,141,108
244,1469,83,1318,798,798
245,1318,454,1050,66,624
246,1100,1619,647,1153,1010
247,1435,1508,1087,640,530
248,88,1061,1141,1350,1319
249,1465,1594,1007,475,429
250,1865,414,282,1465,484
251,767,853,1194,515,1866
252,413,610,515,473,232
253,429,1519,588,76,311
254,1151,830,1594,1718,485
255,351,1777,996,1723,1676
256,486,794,1633,1111,1108
257,1547,566,1636,1406,1335
258,1711,960,163,1113,290
259,59,890,1151,1027,482
260,923,1009,1118,1330,406
261,456,477,1331,514,594
262,246,562,528,1112,1256
263,433,877,1177,474,1665
264,1720,1008,1864,344,201
265,389,946,1320,631,1303
266,1619,462,1713,1151,304
267,1615,1342,1309,579,1255
268,966,1558,434,179,1230
269,1361,951,1248,1835,1474
270,1717,1585,1365,343,1048
271,1152,1731,622,1664,1109
272,1636,634,1548,517,1788
273,1085,1597,1363,1040,1245
274,30,1281,458,566,403
275,1844,1596,642,793,937
276,583,1502,1135,382,641
277,1598,1603,1063,1379,75
278,1386,61,1287,1050,1625
279,1610,989,982,375,656
280,818,459,842,311,1378
281,1515,935,1455,1147,88
282,1544,781,1806,1291,922
283,1580,293,1239,99,457
284,1557,463,477,1741,49
285,1551,428,262,139,39
286,1587,453,1631,1152,50
287,830,37,1586,1709,1257
288,758,909,621,476,708
289,1109,1023,79,543,1525
290,1741,540,1714,1673,1218
291,620,991,708,633,1546
292,655,1087,1343,432,36
293,995,780,1146,1711,1550
294,1814,1078,979,1283,640
295,1634,1552,504,38,958
296,460,846,537,242,145
297,1553,1056,801,1309,1595
298,237,237,1348,917,1768
299,1564,1685,1552,926,645
